CODIGO,DESCRIPCION,CLAVE_PRODSERV,CLAVE_PRODSERV_DESC,CLAVE_UNIDAD,UNIDAD_DESC,CONFIANZA,ESTATUS
ACITE ATDO,ACEITE AFLOJATODO SURTEC 400ml,15121800,Lubricantes,H87,Pieza,BAJA,POR CONFIRMAR
BFS,SSSDD,31161500,Tornillos,H87,Pieza,BAJA,POR CONFIRMAR
BPC146,BROCA P/CONCRETO 1/4X6 SURTEK,27112841,Broca manual para metal,H87,Pieza,MEDIA,POR CONFIRMAR
BS14-12,BROCA 1/4 COBALTO DE ACERO DE ALTA VELOCIDAD SURTEK,27112841,Broca manual para metal,H87,Pieza,MEDIA,POR CONFIRMAR
BS18,BROCA 1/8 COBALTO DE ACERO DE ALTA VELOCIDAD SURTEK,27112841,Broca manual para metal,H87,Pieza,MEDIA,POR CONFIRMAR
BS316,BROCA 3/16 COBALTO DE ACERO DE ALTA VELOCIDAD SURTEK,27112841,Broca manual para metal,H87,Pieza,MEDIA,POR CONFIRMAR
BS38,BROCA 3/8 COBALTO DE ACERO DE ALTA VELOCIDAD SURTEK,27112841,Broca manual para metal,H87,Pieza,MEDIA,POR CONFIRMAR
BS964,BROCA 9/64 COBALTO DE ACERO DE ALTA VELOCIDAD SURTEK,27112841,Broca manual para metal,H87,Pieza,MEDIA,POR CONFIRMAR
CR 6 x 1,CHILILLO  LAMINA CRUZ (AMERICANO),30000000,Materiales y articulos de construccion (revisar),H87,Pieza,BAJA,POR CONFIRMAR
DADOMAG 12,ADAPTADOR MAGNEtiCO 12,27112700,Accesorios para herramientas manuales,H87,Pieza,BAJA,POR CONFIRMAR
DADOMAG 3/8,DADO MAGNETICO 3/8,27112700,Accesorios para herramientas manuales,H87,Pieza,BAJA,POR CONFIRMAR
DADOMAG 6,ADAPTADOR MAGNEtiCO 6,27112700,Accesorios para herramientas manuales,H87,Pieza,BAJA,POR CONFIRMAR
DC 10,DISCO DE CORTE 120 DIENTES MULT. MAQUITA,27112838,Disco de corte,H87,Pieza,MEDIA,POR CONFIRMAR
